,Team,Conf.,Current Elo,Last,Season Min.,Season Max.,Home Court*
257,Toledo,MAC,1369.911,+18 🟢@@17.95874023,1325.259,1600.169,82.82294
258,Marist,MAAC,1369.089,-11 🟠@@-11.4744873,1369.089,1548.836,43.54687
259,Charlotte,AAC,1364.549,-5 🟠@@-4.647216797,1353.378,1628.132,39.81459
260,FIU,CUSA,1363.712,-7 🟠@@-6.789794922,1330.901,1423.731,31.49039
261,Little Rock,OVC,1362.916,-23 🟠@@-23.11889648,1362.916,1509.122,60.53942
262,Eastern Michigan,MAC,1360.296,-10 🟠@@-9.716186523,1251.935,1374.438,52.01262
263,Wright St.,Horizon,1357.304,-9 🟠@@-9.135742188,1356.439,1583.323,69.86529
264,SE Louisiana,Southland,1355.135,-18 🟠@@-18.47460938,1252.598,1428.89,47.29469
265,Old Dominion,Sun Belt,1355.067,-9 🟠@@-9.198852539,1260.374,1377.655,67.5909
266,Siena,MAAC,1352.372,-11 🟠@@-11.27441406,1189.145,1419.242,60.36302
267,Bethune-Cookman,SWAC,1350.526,+13 🟢@@13.34240723,1265.502,1383.507,32.26536
268,Penn,Ivy,1350.043,-16 🟠@@-15.62109375,1298.892,1447.33,62.76459
269,Austin Peay,A-Sun,1345.715,-9 🟠@@-9.340332031,1285.806,1451.753,57.16732
270,LIU,NSEC,1342.189,-22 🟠@@-21.68518066,1178.075,1363.874,57.41191
271,Kansas City,Summit,1341.829,-10 🟠@@-9.622436523,1296.35,1464.676,33.15401
272,VMI,Southern,1340.16,-12 🟠@@-12.05395508,1212.146,1376.823,26.42824
273,Mercer,Southern,1338.276,-5 🟠@@-5.213500977,1323.461,1449.947,41.39279
274,North Dakota,Summit,1337.99,-11 🟠@@-11.06079102,1250.698,1468.177,47.94131
275,Missouri St.,MVC,1330.234,-13 🟠@@-12.76257324,1307.166,1584.604,65.23654
276,Colgate,Patriot,1329.753,-11 🟠@@-11.11962891,1315.265,1488.208,39.50267
277,Texas Southern,SWAC,1327.261,-15 🟠@@-15.21850586,1224.326,1342.479,60.71297
278,Alabama St.,SWAC,1323.583,+15 🟢@@15.21850586,1186.422,1323.583,52.83778
279,Saint Peter's,MAAC,1321.252,+5 🟢@@5.322998047,1304.885,1484.124,34.88826
280,Binghamton,ASEC,1319.88,-6 🟠@@-6.4140625,1298.741,1386.794,35.99059
281,Gardner-Webb,Big South,1319.581,-6 🟠@@-6.239501953,1306.178,1457.973,44.12508
282,Saint Francis (PA),NSEC,1312.652,+28 🟢@@27.92602539,1144.599,1312.652,44.59623
283,Rider,MAAC,1311.536,-14 🟠@@-13.85974121,1249.892,1503.103,46.91532
284,North Florida,A-Sun,1311.238,-40 🟠@@-40.0123291,1311.238,1524.879,48.9425
285,Delaware St.,MEAC,1309.214,-14 🟠@@-14.30041504,1257.017,1354.827,35.33225
286,Fairfield,MAAC,1308.562,-22 🟠@@-21.90148926,1240.492,1477.131,31.17924
287,Boston University,Patriot,1306.53,-24 🟠@@-24.33520508,1282.141,1387.525,33.67216
288,Western Michigan,MAC,1305.497,-5 🟠@@-5.387817383,1226.634,1339.266,55.93343
289,Ball St.,MAC,1303.978,-7 🟠@@-6.611816406,1277.459,1409.306,54.65144
290,UMBC,ASEC,1303.683,-3 🟠@@-3.259765625,1287.257,1421.009,28.09303
291,Bowling Green,MAC,1303.106,-10 🟠@@-9.740234375,1231.309,1412.895,57.18534
292,Fresno St.,MWC,1300.06,-6 🟠@@-5.945922852,1300.06,1514.041,56.92906
293,Columbia,Ivy,1300.05,-6 🟠@@-5.919921875,1300.05,1583.955,31.04414
294,Incarnate Word,Southland,1299.412,-7 🟠@@-6.857055664,1137.951,1330.558,42.37376
295,Lafayette,Patriot,1296.895,-4 🟠@@-4.326416016,1240.083,1330.742,41.03728
296,Lehigh,Patriot,1296.324,-13 🟠@@-12.60852051,1253.347,1403.315,35.82323
297,Eastern Illinois,OVC,1294.947,+55 🟢@@54.79431152,1131.071,1294.947,36.76668
298,Pacific,WCC,1289.982,-17 🟠@@-16.88024902,1195.598,1342.926,45.24019
299,UT Rio Grande Valley,Southland,1278.848,+9 🟢@@8.982055664,1215.786,1367.514,25.79047
300,Eastern Washington,Big Sky,1277.807,-19 🟠@@-19.30065918,1277.807,1536.372,54.83579
301,Niagara,MAAC,1271.285,-5 🟠@@-4.666870117,1233.61,1374.817,41.76025
302,Louisiana (Lafayette),Sun Belt,1269.25,-40 🟠@@-40.42224121,1210.356,1461.45,56.61372
303,Fairleigh Dickinson,NSEC,1264.831,-2 🟠@@-2.454345703,1208.828,1299.787,31.13045
304,Air Force,MWC,1263.351,-2 🟠@@-1.569824219,1263.351,1508.197,23.80616
305,Weber St.,Big Sky,1260.58,-9 🟠@@-8.921264648,1230.561,1460.185,79.54421
306,Southern Utah,WAC,1260.232,-21 🟠@@-20.78356934,1260.232,1485.733,48.30217
307,Mercyhurst,NSEC,1259.421,+11 🟢@@10.56811523,1200.58,1329.297,61.33335
308,Stony Brook,CAA,1259.157,-10 🟠@@-10.37731934,1230.567,1484.483,45.80625
309,Loyola Maryland,Patriot,1257.436,-3 🟠@@-3.048461914,1182.998,1321.637,37.63985
310,UT Martin,OVC,1255.794,-10 🟠@@-10.08666992,1255.068,1428.736,42.67323
311,Stephen F. Austin,Southland,1255.776,-13 🟠@@-13.04199219,1255.776,1428.006,63.14469
312,Denver,Summit,1253.306,-7 🟠@@-7.210327148,1148.829,1347.461,61.64324
313,Utah Tech,WAC,1250.611,-4 🟠@@-4.228027344,1234.056,1411.269,55.17359
314,Western Carolina,Southern,1245.294,-6 🟠@@-6.346435547,1245.294,1545.193,54.02285
315,New Hampshire,ASEC,1241.49,-3 🟠@@-2.907348633,1162.664,1389.715,20.43888
316,IU Indy,Horizon,1238.231,-10 🟠@@-10.00012207,1127.378,1248.231,41.6832
317,San Diego,WCC,1236.659,-13 🟠@@-12.69714355,1216.943,1457.874,28.83907
318,Charleston Southern,Big South,1235.603,-10 🟠@@-10.30419922,1177.385,1300.51,42.51659
319,Morgan St.,MEAC,1234.814,+7 🟢@@7.490478516,1150.833,1259.258,60.42163
320,Southern Miss,Sun Belt,1231.89,-16 🟠@@-15.56396484,1231.89,1412.026,57.29779
321,North Carolina Central,MEAC,1231.301,+14 🟢@@14.30041504,1188.968,1324.046,67.60453
322,Florida A&M,SWAC,1228.58,-20 🟠@@-19.7421875,1127.196,1283.347,46.43045
323,Long Beach St.,Big West,1228.251,-19 🟠@@-19.26867676,1228.251,1501.593,56.91604
